code,title,category,subcategory,base,Group_a,Group_b,Group_ls,Croup_Ch_B
ДТ-3921,Лечение пульпита молочного зуба витальным методом,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.200,00 ₽",,,,
ДТ-3923,Лечение многокорневых молочных зубов по осложнённому кариесу препаротом Pulpotec,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"2.700,00 ₽",,,,
ДТ-3924,Фотодинамическая обработка кариозной полости,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"550,00 ₽",,,,
ДТ-3926,Фотодинамическая обработка корневого канала,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"550,00 ₽",,,,
ДТ-3929,Повторная мед.обработка корневых каналов,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"550,00 ₽",,,,
ДТ-3930,"Ампутация,наложение резорцин-формалиновой смеси",Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"550,00 ₽",,,,
ДТ-3931,Наложение резорцин-формалиновой пасты (форфенал) на устья каналов,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"650,00 ₽",,,,
ДТ-3937,Распломбировка 1-го корневого канала постоянного зуба запломбированного пастой,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.200,00 ₽",,,,
ДТ-3938,Распломбировка 1-го корневого канала постоянного зуба запломбированного гуттаперчей,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.500,00 ₽",,,,
ДТ-3939,Распломбировка 1 -го корневого канала постоянного зуба запломбированного резорцин-формалиновым методом,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.850,00 ₽",,,,
ДТ-3940,Распломбировка 1-го корневого канала постоянного зуба запломбированного цементом,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.900,00 ₽",,,,
ДТ-3941,Извлечение инородного тела из корневого канала постоянного зуба,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.900,00 ₽",,,,
ДТ-3942,Извлечение инородного тела из корневого канала постоянного зуба с использованием дентального микроскопа,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"5.900,00 ₽",,,,
ДТ-3943,"Обработка слизистой оболочки, лечебная повязка",Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"450,00 ₽",,,,
ДТ-3951,Лечение многокорневых молочных зубов по осложненному кариесу препаратом IRM,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.350,00 ₽",,,,
ДТ-3952,Лечение многокорневых молочных зубов по осложненному кариесу препаратом ТРИОКСИДЕНТ,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.900,00 ₽",,,,
ДТ-3954,Использование материала Biodentine Septodont,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"10.700,00 ₽",,,,
ДТ-А11:07.027,Наложение девитализирующей пасты,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"600,00 ₽",,,,
ДТ-А16.07.008.011,Пломбирование одного корневого канала зуба пастой,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"600,00 ₽",,,,
ДТ-А16.07.008.012,Пломбирование 1 корневого канала зуба гуттаперчевыми штифтами (методом латеральной конденсации гуттаперчи) (постоянный зуб),Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.100,00 ₽",,,,
ДТ-А16.07.030.026,Механическая и медикаментозная обработка корневого канала временного зуба,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"750,00 ₽",,,,
ДТ-А16.07.030.027,Механическая и медикаментозная обработка корневого канала постоянного зуба (ручная),Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.350,00 ₽",,,,
ДТ-А16.07.030.035,Инструментальная и медикаментозная обработка корневого канала постоянного зуба (машинная),Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"1.700,00 ₽",,,,
ДТ-А16.07.030.037,Временное пломбирование лекарственным препаратом корневого канала (кальций содержащей пастой),Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"750,00 ₽",,,,
ДТ-А22:07.004,Ультразвуковое расширение корневого канала 1 зуба,Детская стоматология,Лечение осложнений кариеса временных зубов (эндодонтическое лечение корневых каналов) Н,"350,00 ₽",,,,
ДТ-3948,Пластика уздечки языка,Детская стоматология,Хирургическая стоматология Н,"3.200,00 ₽",,,,
ДТ-3949,Пластика уздечки губы,Детская стоматология,Хирургическая стоматология Н,"3.200,00 ₽",,,,
ДТ-3950,Пластика преддверия полости рта,Детская стоматология,Хирургическая стоматология Н,"3.500,00 ₽",,,,
ДТ-А16.07.001.007,Удаление временного зуба однокорневого,Детская стоматология,Хирургическая стоматология Н,"950,00 ₽",,,,
ДТ-А16.07.001.008,"Удаление временного зуба (многокорневого, сложное)",Детская стоматология,Хирургическая стоматология Н,"1.950,00 ₽",,,,
ДТ-А16.07.001.009,Удаление временного зуба многокорневого,Детская стоматология,Хирургическая стоматология Н,"900,00 ₽",,,,
А03.07.003,Компьютерная томография(3Д-снимок),Общие,Рентгенология,"6.000,00 ₽",,,,
А03.07.003А,Компьютерная томография (одна челюсть),Общие,Рентгенология,"4.000,00 ₽",,,,
А03.07.003В,Компьютерная томография (сегмент),Общие,Рентгенология,"2.500,00 ₽",,,,
А06.07.004,ОПТГ,Общие,Рентгенология,"1.900,00 ₽",,,,
А06.07.006,ТРГ,Общие,Рентгенология,"1.900,00 ₽",,,,
А06.07.012,Радиовизиография,Общие,Рентгенология,"750,00 ₽",,,,
ОБЩ-A11.02.002.001,"Внутримышечное введение лекарственных препаратов, премедикация",Общие,Анестезия. Инъекции,"1.350,00 ₽",,,,
ОБЩ-B01.003.004.002,Проводниковая анестезия,Общие,Анестезия. Инъекции,"1.300,00 ₽",,,,
ОБЩ-B01.003.004.004,Апликационная анестезия,Общие,Анестезия. Инъекции,"550,00 ₽",,,,
ОБЩ-B01.003.004.005,Инфильтрационная анестезия,Общие,Анестезия. Инъекции,"1.100,00 ₽",,,,
ОБЩ-B01.003.004.013,Интралигаментарная анестезия,Общие,Анестезия. Инъекции,"1.100,00 ₽",,,,
ОБЩ-A11.07.012.002,Глубокое фторирование эмали зуба (микроинвазивное лечение кариеса без препарирования Icon),Общие,Гигиена и профилактика,"4.500,00 ₽",,,,
ОБЩ-A11.07.012.003,"Глубокое фторирование твердых тканей зубов 1 челюсти, при подготовке эмали зубов к лечению с помощью брекет-системы и реабилитация после с использованием индивидуальных капп, снятие генерализованной гиперчувствительности",Общие,Гигиена и профилактика,"6.700,00 ₽",,,,
ОБЩ-А11.07.024.001,Местное применение реминерализующих препаратов (GC TOOTH MOUSSE),Общие,Гигиена и профилактика,"2.750,00 ₽",,,,
ОБЩ-А14.07.008,"Обучение гигиене полости рта и зубов индивидуальное, подбор средств и предметов гигиены полости рта",Общие,Гигиена и профилактика,"1.750,00 ₽",,,,
ОБЩ-А16.07.020.001,Удаление наддесневых и поддесневых зубных отложений в области зуба ручным методом,Общие,Гигиена и профилактика,"900,00 ₽",,,,
ОБЩ-А16.07.051:001,"Профессиональная гигиена полости рта и зубов, I категории сложности (снятие зубных отложений ультразвуком, Airflow, фторлак, полировка)",Общие,Гигиена и профилактика,"9.650,00 ₽",,,,
ОБЩ-А16.07.051:002,"Профессиональная гигиена полости рта и зубов, II категории сложности (снятие зубных отложений ультразвуком, Airflow, фторлак, полировка)",Общие,Гигиена и профилактика,"12.650,00 ₽",,,,
ОБЩ-А16.07.051:003,"Профессиональная гигиена полости рта и зубов, III категории сложности (снятие зубных отложений ультразвуком, Airflow, фторлак, полировка)",Общие,Гигиена и профилактика,"15.000,00 ₽",,,,
ОБЩ-А16.07.052:001,"Профессиональная гигиена полости рта и зубов, I категории сложности с использованием стоматологического микроскопа (снятие зубных отложений ультразвуком, Airflow, фторлак, полировка)",Общие,Гигиена и профилактика,"12.650,00 ₽",,,,
ОБЩ-А16.07.052:002,"Профессиональная гигиена полости рта и зубов, || категории сложности с использованием стоматологического микроскопа (снятие зубных отложений ультразвуком, Airflow, фторлак, полировка)",Общие,Гигиена и профилактика,"15.000,00 ₽",,,,
ОБЩ-А16.07.052:003,"Профессиональная гигиена полости рта и зубов, ||| категории сложности с использованием стоматологического микроскопа (снятие зубных отложений ультразвуком, Airflow, фторлак, полировка)",Общие,Гигиена и профилактика,"17.500,00 ₽",,,,
ОБЩ-А16.07.057,Запечатывание фисуры зуба герметиком,Общие,Гигиена и профилактика,"1.100,00 ₽",,,,
ОБЩ-А22.07.002,Ультразвуковое удаление наддесневых и поддесневых зубных отложений в области зуба,Общие,Гигиена и профилактика,"1.100,00 ₽",,,,
ОБЩ-A16.07.050.001,"Профессиональное отбеливание зубов. Клиническое отбеливание, Amazing White (2 челюсти в линии улыбки)",Общие,Отбеливание зубов,"9.900,00 ₽",,,,
ОБЩ-A16.07.050.006,"Профессиональное отбеливание зубов. Домашнее, капповое отбеливание Опалесценс 10-20% (2 челюсти в линии улыбки)",Общие,Отбеливание зубов,"6.600,00 ₽",,,,
ОБЩ-A16.07.050.007,Профессиональное отбеливание зубов. Дополнительный шприц из набора домашнего отбеливания Опалесценс 10-20%,Общие,Отбеливание зубов,"6.350,00 ₽",,,,
ОБЩ-А16.07.050.008,Профессиональное отбеливание зубов клиническое препаратом ZOOM,Общие,Отбеливание зубов,"45.000,00 ₽",,,,
ОБЩ-А16.08.050.008,Профессиональное отбеливание зубов клиническое препаратом Beyond,Общие,Отбеливание зубов,"21.500,00 ₽",,,,
ОБЩ-А16.08.050.009,Профессиональное отбеливание зубов клиническое ZOOM,Общие,Отбеливание зубов,"33.330,00 ₽",,,,
РМ-КНМ-202.82,Имплантат классический 4.0 х 8 мм,Расходные материалы,Имплантаты,"6.220,00 ₽",,,,
РМ-КНМ-202.83,Имплантат классический 4.0 х 10 мм,Расходные материалы,Имплантаты,"6.220,00 ₽",,,,
РМ-КНМ-202.84,Имплантат классический 4.0 х 12 мм,Расходные материалы,Имплантаты,"6.220,00 ₽",,,,
РМ-КНМ-215.00,Имплантат цилиндрический 3.5 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.01,Имплантат цилиндрический 3.5 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.02,Имплантат цилиндрический 3.5 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.03,Имплантат цилиндрический 3.5 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.04,Имплантат цилиндрический 3.5 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.10,Имплантат цилиндрический 4.0 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.11,Имплантат цилиндрический 4.0 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.12,Имплантат цилиндрический 4.0 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.13,Имплантат цилиндрический 4.0 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.14,Имплантат цилиндрический 4.0 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.20,Имплантат цилиндрический 4.5 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.21,Имплантат цилиндрический 4.5 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.22,Имплантат цилиндрический 4.5 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.23,Имплантат цилиндрический 4.5 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.24,Имплантат цилиндрический 4.5 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.30,Имплантат цилиндрический 5.0 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.31,Имплантат цилиндрический 5.0 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.32,Имплантат цилиндрический 5.0 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.33,Имплантат цилиндрический 5.0 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.34,Имплантат цилиндрический 5.0 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.40,Имплантат цилиндрический 5.5 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.41,Имплантат цилиндрический 5.5 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.42,Имплантат цилиндрический 5.5 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.43,Имплантат цилиндрический 5.5 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.44,Имплантат цилиндрический 5.5 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.60,Имплантат цилиндрический короткий 5.0 х 6.5 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.70,Имплантат цилиндрический короткий 5.5 х 6.5 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-215.80,Имплантат цилиндрический короткий 6.0 х 6.5 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.00,Имплантат конический 3.4 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.01,Имплантат конический 3.4 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.02,Имплантат конический 3.4 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.03,Имплантат конический 3.4 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.04,Имплантат конический 3.4 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.10,Имплантат конический 3.8 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.11,Имплантат конический 3.8 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.12,Имплантат конический 3.8 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.13,Имплантат конический 3.8 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.14,Имплантат конический 3.8 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.20,Имплантат конический 4.5 х 8 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.21,Имплантат конический 4.5 х 10 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.22,Имплантат конический 4.5 х 12 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.23,Имплантат конический 4.5 х 14 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-217.24,Имплантат конический 4.5 х 16 мм,Расходные материалы,Имплантаты,"7.150,00 ₽",,,,
РМ-КНМ-248.82,Имплантат классический 4.8 х 8 мм,Расходные материалы,Имплантаты,"6.220,00 ₽",,,,
РМ-КНМ-248.83,Имплантат классический 4.8 х 10 мм,Расходные материалы,Имплантаты,"6.220,00 ₽",,,,
РМ-КНМ-248.84,Имплантат классический 4.8 х 12 мм,Расходные материалы,Имплантаты,"6.220,00 ₽",,,,
РМ-КНМ-601.21,"Миниимплантат ортодонтический 2,0х8х1,5 мм",Расходные материалы,Имплантаты,"715,00 ₽",,,,
РМ-КНМ-218.00,Мини-имплантат 2.7/1.8 х 8 со сферической головкой,Расходные материалы,Мини-имплантаты,"3.575,00 ₽",,,,
РМ-КНМ-218.01,Мини-имплантат 2.7/1.8 х 10 со сферической головкой,Расходные материалы,Мини-имплантаты,"3.575,00 ₽",,,,
РМ-КНМ-218.02,Мини-имплантат 2.7/1.8 х 12 со сферической головкой,Расходные материалы,Мини-имплантаты,"3.575,00 ₽",,,,
РМ-КНМ-218.10,Мини-имплантат 2.7/2.0 х 8 со сферической головкой,Расходные материалы,Мини-имплантаты,"3.575,00 ₽",,,,
РМ-КНМ-218.11,Мини-имплантат 2.7/2.0 х 10 со сферической головкой,Расходные материалы,Мини-имплантаты,"3.575,00 ₽",,,,
РМ-КНМ-218.12,Мини-имплантат 2.7/2.0 х 12 со сферической головкой,Расходные материалы,Мини-имплантаты,"3.575,00 ₽",,,,
РМ-КНМ-228.00,Мини-имплантат 2.7/1.8 х 8 с конической головкой,Расходные материалы,Мини-имплантаты,"3.218,00 ₽",,,,
РМ-КНМ-228.01,Мини-имплантат 2.7/1.8 х 10 с конической головкой,Расходные материалы,Мини-имплантаты,"3.218,00 ₽",,,,
РМ-КНМ-228.02,Мини-имплантат 2.7/1.8 х 12 с конической головкой,Расходные материалы,Мини-имплантаты,"3.218,00 ₽",,,,
РМ-КНМ-228.10,Мини-имплантат 2.7/2.0 х 8 с конической головкой,Расходные материалы,Мини-имплантаты,"3.218,00 ₽",,,,
РМ-КНМ-228.11,Мини-имплантат 2.7/2.0 х 10 с конической головкой,Расходные материалы,Мини-имплантаты,"3.218,00 ₽",,,,
РМ-КНМ-228.12,Мини-имплантат 2.7/2.0 х 12 с конической головкой,Расходные материалы,Мини-имплантаты,"3.218,00 ₽",,,,
РМ-КНМ-1203.50,Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-1203.51,Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-1203.52,Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 6 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-1203.53,Винт трансгингивальный (формирователь десны) 6.5 х 2.7 х 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-1203.54,Винт трансгингивальный (формирователь десны) 6.5 х 2.7 х 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-1203.55,Винт трансгингивальный (формирователь десны) 6.5 х 2.7 х 6 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.02,Винт трансгингивальный (формирователь десны) 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.03,Винт трансгингивальный (формирователь десны) 3 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.04,Винт трансгингивальный (формирователь десны) 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.05,Винт трансгингивальный (формирователь десны) 5 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.40,Винт трансгингивальный (формирователь десны) 3.5 х 2.2 х 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.41,Винт трансгингивальный (формирователь десны) 3.5 х 2.2 х 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.42,Винт трансгингивальный (формирователь десны) 3.5 х 2.2 х 6 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.43,Винт трансгингивальный (формирователь десны) 5.0 х 2.2 х 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.44,Винт трансгингивальный (формирователь десны) 5.0 х 2.2 х 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.45,Винт трансгингивальный (формирователь десны) 5.0 х 2.2 х 6 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.50,Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.51,Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.52,Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 6 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.53,Винт трансгингивальный (формирователь десны) 6.5 х 2.7 х 2 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.54,Винт трансгингивальный (формирователь десны) 6.5 х 2.7 х 4 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.55,Винт трансгингивальный (формирователь десны) 6.5 х 2.7 х 6 мм,Расходные материалы,Винт трансгингивальный (формирователь десны),"930,00 ₽",,,,
РМ-КНМ-203.70,"Винт трансгингивальный (формирователь десны) 3.5 х 2.2 х 2 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.71,"Винт трансгингивальный (формирователь десны) 3.5 х 2.2 х 4 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.72,"Винт трансгингивальный (формирователь десны) 3.5 х 2.2 х 6 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.73,"Винт трансгингивальный (формирователь десны) 5.0 х 2.2 х 2 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.74,"Винт трансгингивальный (формирователь десны) 5.0 х 2.2 х 4 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.75,"Винт трансгингивальный (формирователь десны) 5.0 х 2.2 х 6 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.76,"Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 2 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.77,"Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 4 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
РМ-КНМ-203.78,"Винт трансгингивальный (формирователь десны) 5.0 х 2.7 х 6 мм, эстетический",Расходные материалы,Винт трансгингивальный (формирователь десны),"1.788,00 ₽",,,,
R-901,Назальный фильтр,Ирригаторы,REVYLINE,"300,00 ₽",,,,
RVL-1731,Сменные насадки для ирригаторов Revyline RL для имплантов 200\200xl\210 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4212,Сменные насадки для ирригаторов Revyline RL стандартная 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4213,Сменные насадки для ирригаторов Revyline RL для языка 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4214,Сменные насадки для ирригаторов Revyline RL пародонтальная 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4342,Сменные насадки для ирригаторов Revyline RL ортодонтическая 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4343,Сменные насадки для ирригаторов Revyline RL для имплантов 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4519,Сменные насадки для ирригаторов Revyline RL назальная 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4708,Сменные насадки для ирригаторов Revyline RL стандартная 200\200xl\210 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4729,Сменные насадки для ирригаторов Revyline RL пародонтальная 200\200xl\210 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4730,Сменные насадки для ирригаторов Revyline RL ортодонтическая 200\200xl\210 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-4934,Сменные насадки для ирригаторов Revyline RL насадка-щетка 100\300\400\500\600\700\800\900 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5049,Сменные насадки для ирригаторов Revyline RL назальная 200\200xl\210 (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5188,Сменные насадки для ирригаторов Revyline RL 450 насадка-щетка (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5189,Сменные насадки для ирригаторов Revyline RL 450 назальная (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5190,Сменные насадки для ирригаторов Revyline RL 450 для языка (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5191,Сменные насадки для ирригаторов Revyline RL 450 ортодонтическая (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5192,Сменные насадки для ирригаторов Revyline RL 450 пародонтальная (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5193,Сменные насадки для ирригаторов Revyline RL 450 стандартная (2 шт),Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5795\5923,"Сменные насадки для ирригаторов Revyline RL 650\850 стандартная белые, черные (2 шт)",Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5796\6054,"Сменные насадки для ирригаторов Revyline RL 650\850 для имплантов белые, черные (2 шт)",Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5796\6056,"Сменные насадки для ирригаторов Revyline RL 650\850 ортодонтическая белые, черные (2 шт)",Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5797\6057,"Сменные насадки для ирригаторов Revyline RL 650\850 пародонтальная белые, черные (2 шт)",Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5799\6055,"Сменные насадки для ирригаторов Revyline RL 650\850 для языка белые, черные (2 шт)",Ирригаторы,REVYLINE,"700,00 ₽",,,,
RVL-5999\6038,"Сменные насадки для ирригаторов Revyline RL 660 стандартная белые, черные (2 шт)",Ирригаторы,REVYLINE,"700,00 ₽",,,,
